ICPOES_ID,Sample_ID,Lab.Field.Group,Location,Group,Easting,Northing,E.approx,N.approx,EC,EC_units,pH,PO4.P,SO4.S,Sample,Al,As,B,Ba,Ca,Ce,Co,Cr,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb,Rb,S,Se,Si,Sr,Ti,V,Y,Zn
ENVTXX61-OES-2024_01,2024-W12.01,ENVT3361-Group-06,Chapman bend east,6,400514,6468314,400514,6468314,1353,uS,7.21,1.34,8.31,W12.01,0.105,NA,0.074,0.09,47.3,NA,0.001,0.001,NA,0.506,11.6,0.001,0.001,11.1,0.189,NA,182.5,0.002,1.917,0.011,0.019,6.01,0.021,7.89,0.245,0.003,0.001,NA,0.001
ENVTXX61-OES-2024_02,2024-W12.02,ENVT3361-Group-06,Chapman bend east,6,NA,NA,400515,6468316,NA,,NA,,NA,W12.02,0.091,NA,0.074,0.09,47.1,0.002,NA,0.001,0.002,0.538,11.6,0.001,0.001,10.8,0.188,NA,182.6,0.002,1.905,0.008,0.019,5.34,0.019,7.85,0.216,0.002,NA,NA,NA
ENVTXX61-OES-2024_03,2024-W12.03,ENVT3361-Group-06,Chapman bend east,6,NA,NA,400516,6468318,NA,,NA,,NA,W12.03,0.118,NA,0.075,0.09,46.8,0.002,0.001,0.002,0.002,0.538,11.6,0.001,0.001,10.7,0.187,NA,179.8,0.001,1.907,0.01,0.019,5.36,0.011,7.82,0.222,0.002,0,NA,0
ENVTXX61-OES-2024_04,2024-W12.04,ENVT3361-Group-06,Chapman bend east,6,NA,NA,400513,6468312,NA,,NA,,NA,W12.04,0.125,0.002,0.074,0.09,46.7,0.001,NA,0.002,NA,0.524,11.8,0.001,NA,10.8,0.188,NA,181.8,0.002,1.899,0.009,0.019,5.36,0.007,7.94,0.218,0.001,NA,0,0
ENVTXX61-OES-2024_05,2024-W12.05,ENVT3361-Group-06,Chapman bend east,6,NA,NA,400512,6468310,NA,,NA,,NA,W12.05,0.137,0.001,0.074,0.089,46.4,NA,0.002,0.001,NA,0.532,11.7,0.002,0.001,10.9,0.188,NA,181.3,0.002,1.912,0.006,0.02,5.31,0.011,7.91,0.217,0.002,0,NA,0
ENVTXX61-OES-2024_12,2024-W13.01,ENVT3361-Group-07,Chapman bend west,7,400445,6468343,400445,6468343,NA,uS,NA,0.58,5,W13.01,0.305,NA,0.08,0.104,53.4,NA,0.002,0.002,0.001,0.896,16,0.001,0.002,12.5,0.265,NA,208,0.002,2.353,0.012,0.027,2.45,0.013,9.77,0.254,0.001,NA,NA,0.013
ENVTXX61-OES-2024_13,2024-W13.02,ENVT3361-Group-07,Chapman bend west,7,NA,NA,400447,6468342,NA,uS,NA,0.82,7.67,W13.02,0.14,NA,0.076,0.103,53.1,0.003,0.003,0.001,NA,0.817,15.3,0.001,0.002,12.3,0.261,NA,206.1,0.001,2.325,0.01,0.023,2.09,0.007,9.74,0.241,0.001,NA,NA,0.001
ENVTXX61-OES-2024_14,2024-W13.03,ENVT3361-Group-07,Chapman bend west,7,NA,NA,400449,6468314,NA,uS,NA,1.62,2.41,W13.03,0.276,NA,0.078,0.102,53.3,0.003,0.005,0.001,NA,0.869,15.9,0.001,0,12.4,0.26,NA,208.2,0.003,2.336,0.006,0.026,2.32,0.006,9.61,0.258,0.001,NA,0,0.036
ENVTXX61-OES-2024_15,2024-W13.04,ENVT3361-Group-07,Chapman bend west,7,NA,NA,400451,6468340,NA,uS,NA,1.66,6.91,W13.04,0.141,NA,0.075,0.105,53.2,NA,0.002,0.002,0.002,0.841,15.9,0.001,0.002,12.3,0.262,NA,206.8,0.002,2.36,0.012,0.026,2.23,0.011,9.69,0.236,0,NA,0,0.002
ENVTXX61-OES-2024_16,2024-W13.05,ENVT3361-Group-07,Chapman bend west,7,NA,NA,400443,6468339,NA,uS,NA,1.71,10.75,W13.05,0.134,NA,0.075,0.105,52.9,0,0.003,0.002,0.001,0.809,15.1,0.001,0.001,12.3,0.263,NA,204.4,0.001,2.352,0.006,0.024,2.15,0.009,9.79,0.264,0.001,NA,NA,0
ENVTXX61-OES-2024_17,2024-W13.06,ENVT3361-Group-07,Chapman bend west,7,NA,NA,400441,6468338,NA,uS,NA,1.69,7.86,W13.06,0.144,NA,0.075,0.104,54,NA,NA,0.001,NA,0.762,15.4,0.001,0.001,12.5,0.261,NA,207.2,0.002,2.333,0.014,0.024,2.14,0.012,9.93,0.265,0.001,0,0,NA
ENVTXX61-OES-2024_06,2024-W15.01,ENVT3361-Group-08,Chapman lower midN,8,400369,6468280,400369,6468280,6.57,mS,7.36,1.25,NA,W15.01,0.128,NA,0.326,0.047,118.5,NA,0.007,0.002,0.001,0.379,95.2,0.002,0.01,110.2,0.788,NA,982.4,0.002,1.07,0.016,0.191,73.7,0.013,11,0.814,NA,0.002,NA,0.015
ENVTXX61-OES-2024_07,2024-W15.02,ENVT3361-Group-08,Chapman lower midN,8,400369,6468280,400369,6468280,6.62,mS,7.19,1.13,NA,W15.02,0.126,NA,0.325,0.048,119.3,NA,0.005,0.002,0.002,0.503,94.8,0.002,0.011,110.9,0.799,NA,979.3,0.002,1.189,0.016,0.189,73.9,0.018,10.89,0.804,0,0.002,NA,0.019
ENVTXX61-OES-2024_08,2024-W15.03,ENVT3361-Group-08,Chapman lower midN,8,NA,NA,400370,6468281,NA,,NA,,NA,W15.03,0.147,NA,0.325,0.048,121.1,NA,0.006,0.002,0.001,0.328,96.7,0.001,0.01,113.3,0.781,NA,1001.4,0.002,1.038,0.013,0.192,75.5,0.011,10.98,0.804,NA,0.003,NA,0.019
ENVTXX61-OES-2024_09,2024-W15.04,ENVT3361-Group-08,Chapman lower midN,8,NA,NA,400371,6468282,NA,,NA,,NA,W15.04,0.15,NA,0.334,0.053,123.9,NA,0.006,0.002,0.002,0.411,94.1,0.002,0.01,114.8,0.844,NA,1044.5,0.002,0.748,0.003,0.182,80.2,0.001,10.81,0.833,NA,0.002,NA,0.035
ENVTXX61-OES-2024_10,2024-W15.05,ENVT3361-Group-08,Chapman lower midN,8,NA,NA,400372,6468283,NA,,NA,,NA,W15.05,0.137,NA,0.336,0.053,122.7,NA,0.007,0.002,NA,0.603,92.9,0.001,0.011,113.8,0.865,NA,1024.6,0.003,0.898,0.018,0.185,80.7,0.013,10.74,0.811,NA,0.003,NA,0.036
ENVTXX61-OES-2024_11,2024-W15.06,ENVT3361-Group-08,Chapman lower midN,8,NA,NA,400373,6468284,NA,,NA,,NA,W15.06,0.12,NA,0.335,0.053,121.4,NA,0.007,0.003,NA,0.42,93.1,0.002,0.012,112.7,0.838,NA,1027.2,0.003,0.754,0.006,0.184,80.4,0.018,10.8,0.827,NA,0.001,NA,0.028
ENVTXX61-OES-2024_18,2024-W11.01,ENVT3361-Group-09,Chapman uppermost,9,400504,6468309,400504,6468309,1331,uS,7.38,1.77,25.28,W11.01,0.119,0,0.077,0.095,46.5,0.004,0.001,0.001,NA,0.805,12.6,0.001,0.002,11,0.219,NA,185.2,0.001,1.946,0.005,0.022,4.58,0.01,8.1,0.237,0.001,NA,NA,NA
ENVTXX61-OES-2024_19,2024-W11.02,ENVT3361-Group-09,Chapman uppermost,9,400504,6468309,400504,6468309,1331,uS,7.38,1.4,24.57,W11.02,0.116,0.004,0.077,0.101,48.4,NA,NA,0.002,0.002,0.953,12.9,0.002,0.001,11.3,0.215,NA,186.1,0.002,1.843,0.002,0.022,4.5,0.004,8.38,0.237,0.001,0.001,0,0.002
ENVTXX61-OES-2024_20,2024-W11.03,ENVT3361-Group-09,Chapman uppermost,9,400504,6468309,400504,6468309,1331,uS,7.38,1.68,35.81,W11.03,0.146,NA,0.078,0.102,48.4,0.001,0.003,0.001,NA,1.036,13,0.001,0.001,11.1,0.215,NA,189.2,0,1.828,0.009,0.021,4.52,0.002,8.38,0.236,0.001,0.002,NA,0.001
