"E","N"
388681.5,6460854.8
388682.3,6460853.2
388682.6,6460852.3
388683,6460851.4
388684,6460850.1
388684.3,6460849.4
388684.9,6460848.6
388685.4,6460847.5
388687.3,6460844
388688,6460842.3
388689,6460839.8
388689.3,6460838.9
388690.2,6460836.1
388691.2,6460834.3
388692.7,6460831.8
388693.8,6460830.4
388694.4,6460829.5
388695.5,6460827.9
388696,6460827
388698.6,6460823.1
388700.5,6460820
388702.5,6460816.9
388703,6460816
388703.7,6460814.9
388704.2,6460814.1
388705.9,6460811.4
388706.3,6460810.6
388707,6460809.6
388707.4,6460808.7
388708.7,6460806.5
388711.2,6460802.2
388712.4,6460799.6
388713.4,6460797.8
388714.3,6460796.6
388715.9,6460794.3
388717.9,6460791
388718.6,6460789.6
388720.2,6460787.3
388721,6460786.4
388722.3,6460784.8
388724.9,6460781
388727.4,6460777.8
388727.8,6460777.2
388729.5,6460774.9
388730.2,6460774.2
388731.1,6460772.8
388731.2,6460772.6
388732.2,6460771.7
388733.4,6460770.4
388735.6,6460767.4
388736,6460767
388737.4,6460765.1
388738.7,6460763.1
388740.5,6460759.9
388742.8,6460757
388745.3,6460754.7
388746.1,6460753.8
388748.1,6460751.1
388750.3,6460748.6
388753.7,6460745.2
388755.1,6460743.5
388758.9,6460739.7
388759.5,6460738.8
388759.8,6460738.6
388760,6460738.3
388760.3,6460738
388760.9,6460737.3
388761.5,6460736.8
388764.2,6460734.9
388765.4,6460733.7
388767.9,6460731.3
388769.7,6460729.5
388770.9,6460727.7
388771.1,6460727.5
388771.5,6460727.4
388772.8,6460726.5
388774.6,6460724.8
388775.1,6460724.1
388776.8,6460722.3
388778,6460720.8
388779.3,6460719.7
388779.9,6460719.3
388782.3,6460717.5
388784.3,6460715.7
388785.8,6460714.4
388788,6460713.1
388791.4,6460710.3
388793,6460709.3
388794.5,6460707.9
388799.3,6460704.1
388800.7,6460703.2
388802,6460702.2
388805.6,6460699.9
388806.9,6460698.9
388809.2,6460697.1
388811.4,6460695.9
388812.1,6460695.4
388816.5,6460692.7
388817.4,6460692.1
388818.7,6460691.1
388820.3,6460690.2
388820.8,6460689.7
388822.3,6460688.9
388824.3,6460688
388824.6,6460687.9
388825,6460687.8
388826.3,6460687.3
388830.5,6460686.1
388832.2,6460685.2
388832.5,6460685
388835,6460684.2
388835.6,6460684.1
388837.1,6460683.6
